5CG1038QQ8;WHGREOBRLEMWJI;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG10390BZ;WHGREOBRLEMWXG;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038P3C;WHGREOBRLEMW9P;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG10390JQ;WHGREOBRLEMWSC;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038DFD;WHHREOA5REJFMM;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038NOR;WHGREOBRLEMXLG;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG103906P;WHGREOBRLEMWZH;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038PQD;WHHREOA5REJFN2;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038YLM;WHGREOBRLEMWXG;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038Q25;WHGREOBRLEMX46;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038VYK;WHGREOBRLEMWER;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038T57;WHGREOBRLEMWZE;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038V2P;WHGREOBRLEMWZJ;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038Y1K;WHGREOBRLEMWJD;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038S1Y;WHHREOA5REJ5FA;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038SOP;WHHREOA5REJFMB;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG10390BZ;WHGREOBRLEMWUV;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038Q16;WHHREOA5REJ562;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038T4Y;WHHREOA5REJ5FK;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038P36;WHGREOBRLEMWBY;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038TFY;WHGREOBRLEMWAD;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038S2H;WHGREOBRLEMW6Y;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038VRS;WHGREOBRLEMWOS;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038VG1;WHGREOBRLEMWK7;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038Q9N;WHGREOBRLEMWY1;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038Q9F;WHGREOBRLEMWMV;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038P25;WHGREOBRLEMW9R;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038VPS;WHGREOBRLEMW06;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG103903W;WHHREOA5REJFMC;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038PV8;WHGREOBRLEMWIW;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG10384PJ;WHGREOBRLEMWD1;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038STF;WHGREOBRLEMWNV;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038TNG;WHGREOBRLEMWJW;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038QPN;WHHREOA5REJ5GO;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038NOV;WHGREOBRLEMWFI;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038S1R;WHHREOA5REJ674;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038R3G;WHHREOA5REJ5ZW;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038ZKO;WHGREOBRLEMWZC;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038RRN;WHGREOBRLEMWY4;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL
5CG1038YMW;WHGREOBRLEMWIP;portatil HP;Descripcion de ejemplo;NULL;NULL;NULL